title:Cortex_data, start timestamp:1586024893.723758, stop timestamp:1586025073.725302, headset type:INSIGHT, headset serial:5A687D62, headset firmware:925, subject name:hsestudent, channels:31, sampling rate:0.1, samples:357       , version:2.0
Timestamp,PM.Engagement.IsActive,PM.Engagement.Scaled,PM.Engagement.Raw,PM.Engagement.Min,PM.Engagement.Max,PM.Excitement.IsActive,PM.Excitement.Scaled,PM.Excitement.Raw,PM.Excitement.Min,PM.Excitement.Max,PM.LongTermExcitement,PM.Stress.IsActive,PM.Stress.Scaled,PM.Stress.Raw,PM.Stress.Min,PM.Stress.Max,PM.Relaxation.IsActive,PM.Relaxation.Scaled,PM.Relaxation.Raw,PM.Relaxation.Min,PM.Relaxation.Max,PM.Interest.IsActive,PM.Interest.Scaled,PM.Interest.Raw,PM.Interest.Min,PM.Interest.Max,PM.Focus.IsActive,PM.Focus.Scaled,PM.Focus.Raw,PM.Focus.Min,PM.Focus.Max
1586024943.775035,0,,,,,0,,,,,,0,,,,,0,,,,,0,,,,,0,,,,
1586024944.275702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024944.776467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024945.277137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024945.777811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024946.278586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024946.779262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024947.280240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024947.782721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024948.286403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024948.790387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024949.294473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024949.798761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024950.303350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024950.807239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024951.311328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024951.815924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024952.320419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024952.824716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024953.328814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024953.833415,0,,,,,0,,,,,,0,,,,,0,,,,,0,,,,,0,,,,
1586024954.338021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024954.842226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024955.346532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024955.851041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024956.355250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024956.859362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024957.363674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024957.868492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024958.372404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024958.876924,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024959.380639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024959.885360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024960.389883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024960.894309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024961.398233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024961.902960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024962.407790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024962.911621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024963.415651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024963.920182,0,0.638909,0.943784,-0.653491,2.188226,0,0.235932,2.022940,-1.284894,12.711053,0.294526,0,0.384620,-0.203648,-0.446120,0.206814,0,0.532234,0.238932,-0.845846,1.443830,0,0.685941,26.807434,-50.978855,78.178653,0,0.373904,0.586863,0.499566,0.749097
1586024964.425017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024964.929054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024965.433189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024965.937525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024966.441965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024966.946508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024967.450748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024967.955092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024968.459837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024968.963781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024969.467927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024969.972276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024970.476927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024970.981177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024971.486549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024971.994192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024972.501837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024973.009381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024973.516624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024974.022171,1,,,,,1,,,,,,1,,,,,1,,,,,1,,,,,1,,,,
1586024974.526917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024975.031464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024975.535813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024976.040162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024976.545012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024977.049163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024977.553012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024978.057764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024978.562316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024979.066469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024979.570219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024980.074772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024980.579326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024981.083679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024981.587932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024982.092287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024982.596842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024983.101097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024983.605052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024984.109509,1,0.957254,1.438224,-0.811479,3.263222,1,0.653685,6.776346,-1.975361,18.675059,0.458933,1,0.604456,-0.305460,-0.662763,0.272669,1,0.853489,0.507353,-1.171705,2.146963,1,1.068744,43.465910,-69.148362,116.064869,1,0.582634,0.912059,0.779836,1.143287
1586024984.614167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024985.118725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1586024985.622983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
